コード,銘柄名,市場区分,更新日
3941,レンゴー,プライム,2023/08/09
3946,トーモク,プライム,2023/08/09
3950,ザ・パック,プライム,2023/08/09
2930,北の達人コーポレーション,プライム,2023/08/09
3405,クラレ,プライム,2023/08/09
3407,旭化成,プライム,2023/08/09
4004,昭和電工,プライム,2023/08/09
4005,住友化学,プライム,2023/08/09
4008,住友精化,プライム,2023/08/09
4021,日産化学,プライム,2023/08/09
4022,ラサ工業,プライム,2023/08/09
4023,クレハ,プライム,2023/08/09
4025,多木化学,プライム,2023/08/09
4027,テイカ,プライム,2023/08/09
4028,石原産業,プライム,2023/08/09
4041,日本曹達,プライム,2023/08/09
4042,東ソー,プライム,2023/08/09
4043,トクヤマ,プライム,2023/08/09
4044,セントラル硝子,プライム,2023/08/09
4045,東亞合成,プライム,2023/08/09
4046,大阪ソーダ,プライム,2023/08/09
4047,関東電化工業,プライム,2023/08/09
4061,デンカ,プライム,2023/08/09
4063,信越化学工業,プライム,2023/08/09
4064,日本カーバイド工業,プライム,2023/08/09
4078,堺化学工業,プライム,2023/08/09
4082,第一稀元素化学工業,プライム,2023/08/09
4088,エア・ウォーター,プライム,2023/08/09
4091,日本酸素ホールディングス,プライム,2023/08/09
4092,日本化学工業,プライム,2023/08/09
4093,東邦アセチレン,プライム,2023/08/09
4095,日本パーカライジング,プライム,2023/08/09
4097,高圧ガス工業,プライム,2023/08/09
4098,チタン工業,プライム,2023/08/09
4099,四国化成工業,プライム,2023/08/09
4100,戸田工業,プライム,2023/08/09
4109,ステラ　ケミファ,プライム,2023/08/09
4112,保土谷化学工業,プライム,2023/08/09
4114,日本触媒,プライム,2023/08/09
4116,大日精化工業,プライム,2023/08/09
4118,カネカ,プライム,2023/08/09
4182,三菱瓦斯化学,プライム,2023/08/09
4183,三井化学,プライム,2023/08/09
4186,東京応化工業,プライム,2023/08/09
4187,大阪有機化学工業,プライム,2023/08/09
4188,三菱ケミカルホールディングス,プライム,2023/08/09
4189,ＫＨネオケム,プライム,2023/08/09
4202,ダイセル,プライム,2023/08/09
4203,住友ベークライト,プライム,2023/08/09
4204,積水化学工業,プライム,2023/08/09
4205,日本ゼオン,プライム,2023/08/09
4206,アイカ工業,プライム,2023/08/09
4208,ＵＢＥ,プライム,2023/08/09
